"source","context","target"
"Screenshot","","ﺔﺷﺎﺸﻟﺍ ﺔﻄﻘﻟ"
"Server address:","","ﺮﻓﺮﻴﺴﻟﺍ ﻥﺍﻮﻨﻋ:"
"Server info","","ﺮﻓﺮﻴﺴﻟﺍ ﺕﺎﻣﻮﻠﻌﻣ"
"Server not full","","ﺊﻠﺘﻤﻣ ﺲﻴﻟ ﺮﻓﺮﻴﺴﻟﺍ"
"Shotgun","","ﻦﻘﺘﺷ"
"Show chat","","ﺕﺎﺸﻟﺍ ﺭﺎﻬﻇﺍ"
"Show friends only","","الأصدقاء"
"Show ingame HUD","","داخل اللعبة"
"Show name plates","","لوحة الاسم"
"Show only chat messages from friends","","أمريكا الجنوبية"
"Sound","","ﺕﻮﺼﻟﺍ"
"Sound error","","ﺕﻮﺼﻟﺎﺑ ﺎﻄﺧ"
"Spectate","","مشاهدة"
"Spectate next","","ﻲﻟﺎﺘﻟﺍ ﺓﺪﻫﺎﺸﻣ"
"Spectate previous","","ﻖﺑﺎﺴﻟﺍ ﺓﺪﻫﺎﺸﻣ"
"Spectator mode","","ﺓﺪﻫﺎﺸﻤﻟﺍ ﻊﺿﻭ"
"Spectators","","ﻥﻭﺪﻫﺎﺸﻤﻟﺍ"
"Stop record","","ﺮﻳﻮﺼﺘﻟﺍ ﻑﺎﻘﻳﺍ"
"Strict gametype filter","","ﻂﺒﻀﻟﺎﺑ ﺔﺒﻌﻠﻟﺍ ﻉﻮﻧ"
"Sudden Death","","ﺊﺟﺎﻔﻤﻟﺍ ﺕﻮﻤﻟﺍ"
"Switch weapon on pickup","","ﻁﺎﻘﺘﻟﻻﺍ ﺪﻨﻋ ﺡﻼﺴﻟﺍ ﻞﻳﺪﺒﺗ"
"Team","","ﻖﻳﺮﻔﻟﺍ"
"Team chat","","ﻖﻳﺮﻔﻟﺍ ﺕﺎﺷ"
"The audio device couldn't be initialised.","","ﺕﻮﺼﻟﺍ ﺯﺎﻬﺟ ﺔﺌﻴﻬﺗ ﺭﺬﻌﺗ."
"The server is running a non-standard tuning on a pure game type.","","ﺺﻟﺎﺧ ﺔﺒﻌﻟ ﻉﻮﻧ ﻰﻠﻋ ﻲﺳﺎﻴﻗ ﺮﻴﻏ ﻂﺒﺿ ﻞﻴﻐﺸﺘﺑ ﺮﻓﺮﻴﺳ ﻡﻮﻘﻳ."
"Time limit: %d min","","ﺖﻗﻮﻟﺍ ﺩﻭﺪﺣ: %d min"
"Try again","","ﺍﺩﺪﺠﻣ ﻝﻭﺎﺣ"
"Type","","ﺭﻮﻃ"
"Unable to rename the demo","","ﻮﻳﺪﻴﻓﻟﺍ ﺔﻴﻤﺴﺗ ﺓﺩﺎﻋﺎﺑ ﻞﺸﻓ"
"Use sounds","","ﺕﺍﻮﺻﻻﺍ ﻡﺍﺪﺨﺘﺳﺍ"
"Use team colors for name plates","","ﻢﺳﻼﻟ ﻖﻳﺮﻔﻟﺍ ﻥﺍﻮﻟﺃ ﻡﺪﺨﺘﺳﺍ"
"V-Sync","","V-Sync"
"Version","","ﺭﺍﺪﺻﻻﺍ"
"Vote command:","","أمر:"
"Vote description:","","ﺖﻳﻮﺼﺘﻟﺍ ﻒﺻﻭ:"
"Vote no","","ﻻ ﺖﻳﻮﺼﺗ"
"Vote yes","","ﻢﻌﻧ ﺖﻳﻮﺼﺗ"
"Voting","","ﺕﻮﺼﻳ"
"Warmup","","ﺔﻴﻤﺤﺗ"
"Weapon","","ﺡﻼﺳ"
"Yes","","ﻢﻌﻧ"
"You must restart the game for all settings to take effect.","","ﻝﻮﻌﻔﻤﻟﺍ ﺔﻳﺭﺎﺳ ﺕﺍﺩﺍﺪﻋﻹﺍ ﻊﻴﻤﺟ ﺢﺒﺼﺗ ﻰﺘﺣ ﺔﺒﻌﻠﻟﺍ ﻞﻴﻐﺸﺗ ﺓﺩﺎﻋﺇ ﺐﺠﻳ."
"New name:","","ﺪﻳﺪﺟ ﻢﺳﺍ:"
"Sat.","","ﺔﻴﻓﺎﻔﺷ."
"Miscellaneous","","ﻉﻮﻨﺘﻣ"
"Internet","","ﺖﻧﺮﺘﻧﻻﺍ"
"Max demos","","ﺕﺎﻫﻮﻳﺪﻴﻔﻠﻟ ﻰﺼﻗﻻﺍ ﺪﺤﻟﺍ"
"News","","ﺭﺎﺒﺧﻻﺍ"
"Join game","","ﺔﺒﻌﻠﻟﺍ ﻰﻟﺍ ﻉﻮﺟﺭ"
"FSAA samples","","Anti-Aliasing"
"Sound volume","","ﺕﻮﺼﻟﺍ ﻢﺠﺣ"
"Max Screenshots","","ﺭﻮﺼﻠﻟ ﻰﺼﻗﻻﺍ ﺪﺤﻟﺍ"
"Hue","","ﻥﻮﻟ"
"Record demo","","ﻮﻳﺪﻴﻓ ﺮﻳﻮﺼﺗ"
"Your skin","","ﻚﻨﻜﺳ"
"Reset to defaults","","افتراضي"
"Lht.","","ﺢﻴﺘﻔﺗ"
"UI Color","","ﻥﺍﻮﻟﻻﺍ ﺔﻤﺋﺎﻗ"
"Alpha","","ﺔﻴﻓﺎﻔﺷ"
"LAN","","LAN"
"Name plates size","","ﻲﻣﺎﺳﻻﺍ ﻢﺠﺣ"
"Ratio","","ﺔﺒﺴﻧ"
"AntiPing","","AntiPing"
"Map sound volume","","ﺏﺎﻤﻟﺍ ﺕﻮﺻ"
"Countries","","ﻥﺍﺪﻠﺒﻟﺍ"
"Types","","ﻉﺍﻮﻧﺃ"
"Show kill messages","","ﻞﺘﻘﻟﺍ ﻞﺋﺎﺳﺭ ﺭﺎﻬﻇﺍ"
"Show ghost","","ﺢﺒﺸﻟﺍ ﺭﺎﻬﻇﺍ"
"No updates available","","ﺕﺎﺜﻳﺪﺤﺗ ﺪﺟﻮﻳﻻ"
"Update now","","ﻥﻻﺍ ﺚﻳﺪﺤﺘﻟﺍ"
"Enable server message sound","","ﺮﻓﺮﻴﺴﻟﺍ ﺔﺷﺩﺭﺩ ﺕﻮﺻ ﻞﻴﻌﻔﺗ"
"Show votes window after voting","","ﺖﻳﻮﺼﺘﻟﺍ ﺪﻌﺑ ﺕﺎﺘﻳﻮﺼﺘﻟﺍ ﺔﻤﺋﺎﻗ ﺭﺎﻬﻇﺍ"
"HUD","","ﺔﺒﻌﻠﻟﺍ ﺮﻬﻈﻣ"
"Show names in chat in team colors","","ﻖﻳﺮﻔﻟﺍ ﻥﺍﻮﻟﺄﺑ ﺔﺷﺩﺭﺪﻟﺍ ﻲﻓ ﺀﺎﻤﺳﻷﺍ ﺭﺎﻬﻇﺇ"
"Enable team chat sound","","ﻖﻳﺮﻔﻟﺍ ﺔﺷﺩﺭﺩ ﺕﻮﺻ ﻞﻴﻌﻔﺗ"
"Show other players' hook collision lines","","خط تصادم الخطاف"
"Deaths","","ﺕﺍﻮﻣﻻﺍ"
"Enable game sounds","","ﺔﺒﻌﻟﻻﺍ ﺕﻮﺻ ﻞﻴﻌﻔﺗ"
"DDNet Client needs to be restarted to complete update!","","DDNet-Client !ﺚﻳﺪﺤﺘﻟﺍ ﻝﺎﻤﻛﻻ ﻞﻴﻐﺸﺘﻟﺍ ﺓﺩﺎﻋﻻ ﺝﺎﺘﺤﺗ!"
"Show others","","آخرون"
"Restart","","ﻞﻴﻐﺸﺘﻟﺍ ﺓﺩﺎﻋﺍ"
"Browser","","ﺢﻔﺼﺘﻤﻟﺍ"
"Enable gun sound","","ﺔﺤﻠﺳﻻﺍ ﺕﻮﺻ ﻞﻴﻌﻔﺗ"
"Team message","","ﻖﻳﺮﻔﻟﺍ ﺔﻟﺎﺳﺭ"
"Save the best demo of each race","","ﻕﺎﺒﺳ ﻞﻜﻟ ﻲﺒﻳﺮﺠﺗ ﺽﺮﻋ ﻞﻀﻓﺃ ﻆﻔﺣﺍ"
"Are you sure that you want to disconnect?","","ﺝﻭﺮﺨﻟﺍ ﺪﻳﺮﺗ ﻚﻧﺎﺑ ﺪﻛﺂﺘﻣ ﺖﻧﺍ ﻞﻫ?"
"Ghost","","ﺢﺒﺸﻟﺍ"
"Check now","","ﻥﻻﺍ ﺪﻛﺄﺗ"
"DDNet Client updated!","","DDNet-Client تحدثت!"
"AntiPing: predict other players","","AntiPing: ﻦﻳﺮﺧﻵﺍ ﻦﻴﺒﻋﻼﻟ ﻖﺒﺴﻣ ﺏﺎﺴﺣ"
"System message","","ﻡﺎﻈﻨﻟﺍ ﻞﺋﺎﺳﺭ"
"Updating…","","ﺚﻳﺪﺤﺘﻟﺍ ﺭﺎﺟ…"
"Overlay entities","","ﻥﺍﺭﺪﺠﻟﺍ-ﺐﻛﺍﺮﺗ"
"Messages","","ﻞﺋﺎﺳﺮﻟﺍ"
"%.2f MiB","","%.2f MiB"
"Loading DDNet Client","","ﻞﻴﻤﺤﺘﻟﺍ ﺭﺎﺟ DDNet Client"
"Default zoom","","ﻲﻌﻴﺒﻄﻟﺍ ﺮﻴﺒﻜﺘﻟﺍ"
"Show score","","ﻁﺎﻘﻨﻟﺍ ﺭﺎﻬﻇﺍ"
"%.2f KiB","","%.2f KiB"
"Enable regular chat sound","","ﺔﻳﺩﺎﻌﻟﺍ ﺔﺷﺩﺭﺩ ﺕﻮﺻ ﻞﻴﻌﻔﺗ"
"DDNet","","ﺖﻴﻧﺩﺩ"
"Normal message","","ﺔﻴﻌﻴﺒﻄﻟﺍ ﻞﺋﺎﺳﺮﻟﺍ"
"AntiPing: predict grenade paths","","AntiPing: ﺔﻳﻭﺪﻴﻟﺍ ﻞﺑﺎﻨﻘﻟﺍ ﺕﺍﺭﺎﺴﻣ ﻊﻗﻮﺗ"
"Search","","ﺚﺤﺑ"
"Connecting dummy","","دمية"
"Show clan above name plates","","ﻢﻬﻴﻣﺎﺳﺍ ﻕﻮﻓ ﻥﻼﻜﻟﺍ ﺭﺎﻬﻇﺍ"
"Save ghost","","ﺢﺒﺸﻟﺍ ﻆﻔﺣ"
"Enable highlighted chat sound","","ﻪﻴﺒﻨﺘﻟﺍ ﺕﻮﺻ ﻞﻴﻌﻔﺗ"
"AntiPing: predict weapons","","الأسلحة"
"Highlighted message","","ﻪﻴﺒﻨﺘﻟﺍ ﻞﺋﺎﺳﺭ"
"Switch weapon when out of ammo","","ﺓﺮﻴﺧﺬﻟﺍ ﺫﺎﻔﻧ ﺪﻨﻋ ﺡﻼﺴﻟﺍ ﺮﻴﻴﻐﺗ"
"Grabs","","ﺕﺎﻜﺴﻣ"
"Automatically take game over screenshot","","ﺔﺷﺎﺸﻟﺍ ﺔﻄﻘﻟ ﻰﻠﻋ ﺍًﻴﺋﺎﻘﻠﺗ ﺔﺒﻌﻠﻟﺍ ﺬﺧﺃ"
"Gameplay","","ﺐﻌﻠﻟﺍ"
"Laser","","ﺭﺰﻴﻟ"
"Follow","","ﻊﺒﺗﺃ"
"Reset","","ﻦﻴﻴﻌﺗ ﺓﺩﺎﻋﺇ"
"Automatically create statboard csv","","statboard ﻞﻤﻋ ﻲﺋﺎﻘﻠﺗ"
"Show tiles layers from BG map","","ﺔﻴﻔﻠﺨﻟﺍ ﺏﺎﻤﻠﻟ ﺐﻧﺎﺠﺘﻟﺍ ﺕﺎﻘﺒﻃ ﺭﺎﻬﻇﺇ"
"Remove chat","","ﺕﺎﺸﻟﺍ ﻑﺬﺣ"
"Frags","","ﻞﺑﺎﻨﻗ"
"Automatically take statboard screenshot","","ﺍﻴﺋﺎﻘﻠﺗ ﺞﺋﺎﺘﻨﻟﺍ ﺔﺣﻮﻠﻟ ﺔﺷﺎﺷ ﺔﻄﻘﻟ ﺬﺧﺍ"
"Enable long pain sound (used when shooting in freeze)","","( ﺰﻳﺮﻔﺘﻳ ﺎﻣﺪﻨﻋ ﻡﺪﺨﺘﺴﻳ ) ﻢﻟﻵﺍ ﺕﻮﺻ"
"Vanilla skins only","","ﻂﻘﻓ ﺔﻴﺳﺎﺳﻻﺍ ﺕﺎﻨﻜﺴﻟﺍ"
"Refresh Rate","","ﻢﻳﺮﻔﻟﺍ ﻝﺪﻌﻣ"
"New random timeout code","","ﺪﻳﺪﺟ ﻲﺋﺍﻮﺸﻋ ﺔﻠﻬﻣ ﺩﻮﻛ"
"Suicides","","ﺭﺎﺤﺘﻧﻻﺍ"
"Net","","ﺔﻜﺒﺸﻟﺍ"
"FPM","","فبم"
"Spree","","ﺡﺮﻣ"
"Max CSVs","","Max CSVs"
"Best","","ﻞﻀﻓﺍ"
"Screen","","ﺔﺷﺎﺷ"
"Exclude","","ﺩﺎﻌﺒﺘﺳﺍ"
"Demo","","ﺕﺎﻫﻮﻳﺪﻴﻔﻟﺍ"
"Fat skins (DDFat)","","ﺔﻨﻴﻤﺳ ﺕﺎﻨﻜﺳ"
"Show DDNet map finishes in server browser","","ﺭﺎﻬﻇﺍ DDNet ﺕﺍﺮﻓﺮﻴﺴﻟﺍ ﺢﻔﺼﺘﻣ ﻲﻓ ﺔﻴﻬﺘﻨﻤﻟﺍ ﺕﺎﺑﺎﻤﻟﺍ"
"Unfinished map","","ﺔﻴﻬﺘﻨﻣ ﺮﻴﻐﻟﺍ ﺕﺎﺑﺎﻤﻟﺍ"
"Welcome to DDNet","","ﻲﻓ ﻚﺑ ﺎﺒﺣﺮﻣ DDNet"
"may cause delay","","ﺮﻴﺧﺄﺗ ﺐﺒﺴﻳ"
"Indicate map finish","","ﺔﻗﺎﻄﺒﻟﺍ ﺭﺎﺼﺘﻧﺍ ﺭﺎﻬﻇﺇ"
"File already exists, do you want to overwrite it?","","ﻪﻗﻮﻓ ﺔﺑﺎﺘﻜﻟﺍ ﺪﻳﺮﺗ ﻞﻫ ، ﻞﻌﻔﻟﺎﺑ ﺩﻮﺟﻮﻣ ﻒﻠﻤﻟﺍ?"
"Clan plates size","","ﻥﻼﻜﻟﺍ ﻞﻜﺷ ﻢﺠﺣ"
"Friend message","","ﻖﻳﺪﺻ ﺔﻟﺎﺳﺭ"
"Date","","ﺦﻳﺭﺎﺗ"
"Skin prefix","","ﻦﻜﺴﻟﺍ ﺲﻜﻓﺮﺑ"
"Show HUD","","ﻞﻜﺸﻟﺍ ﺭﺎﻬﻇﺍ"
"9+ new mentions","","9+ ﺓﺪﻳﺪﺟ ﺕﺍﺭﺎﻌﺷﺍ"
"Lock team","","ﻖﻳﺮﻔﻟﺍ ﻞﻔﻗ"
"Zoom out","","ﺮﻴﻐﺼﺗ"
"Are you sure that you want to disconnect your dummy?","","ﻚﺘﻴﻣﺩ ﺝﺍﺮﺧﺍ ﺪﻳﺮﺗ ﻚﻧﺍ ﻦﻣ ﺪﻛﺎﺘﻣ ﺖﻧﺍ ﻞﻫ?"
"Activate","","ﻞﻴﻌﻔﺗ"
"Time","","ﺖﻗﻮﻟﺍ"
"Successfully saved the replay!","","ﺡﺎﺠﻨﺑ ﺓﺩﺎﻋﻻﺍ ﻩﺬﻫ ﻆﻔﺣ ﻢﺗ!"
"Length","","ﻝﻮﻄﻟﺍ"
"Show text entities","","Entities-Text ﺭﺎﻬﻇﺍ"
"Hook collisions","","تصادمات الخطاف"
"Fetch Info","","ﺕﺎﻣﻮﻠﻌﻤﻟﺍ ﺭﺎﻀﺣﺍ"
"DDNet %s is out!","","DDNet %s ﺪﻳﺪﺟ ﺭﺍﺪﺻﺍ!"
"Save","","ﻆﻔﺣ"
"%d new mentions","","%d ﺓﺪﻳﺪﺟ ﺕﺍﺭﺎﻌﺷﺍ"
"Show all","","ﻞﻜﻟﺍ ﺭﺎﻬﻇﺍ"
"1 new mention","","1 ﺪﻳﺪﺟ ﺭﺎﻌﺷﺍ"
"Dummy copy","","ﺔﻴﻣﺪﻟﺍ ﺦﺴﻧ"
"Downloading %s:","","ﻞﻴﻤﺤﺗ %s:"
"Show entities","","ﻥﺍﺭﺪﺠﻟﺍ ﺭﺎﻬﻇﺍ"
"Zoom in","","ﺮﻴﺒﻜﺗ"
"Disconnect Dummy","","ﺔﻴﻣﺪﻟﺍ ﺝﺍﺮﺧﺍ"
"Update failed! Check log…","","ﺕﺎﻗﻮﻠﻟﺍ ﻦﻣ ﺪﻛﺎﺗ !ﻞﺸﻓ ﺚﻳﺪﺤﺘﻟﺍ…"
"Markers","","ﺕﺎﻣﻼﻌﻟﺍ"
"Enable replays","","ﺓﺩﺎﻋﻻﺍ ﻦﻴﻜﻤﺗ"
"Toggle dummy","","ﺔﻴﻣﺪﻠﻟ ﻞﻳﺪﺒﺗ"
"Converse","","ﺔﺛﺩﺎﺤﻣ"
"Filter connecting players","","ﻦﻴﻠﺼﺘﻤﻟﺍ ﻦﻴﺒﻋﻼﻟﺍ ﺔﻴﻔﺼﺗ"
"Size","","ﻢﺠﺣ"
"Deactivate","","ﻞﻴﻄﻌﺗ"
"Replay feature is disabled!","","معطل!"
"Replace video","","ﻮﻳﺪﻴﻔﻟﺍ ﻝﺍﺪﺒﺘﺳﺍ"
"DDraceNetwork is a cooperative online game where the goal is for you and your group of tees to reach the finish line of the map. As a newcomer you should start on Novice servers, which host the easiest maps. Consider the ping to choose a server close to you.","","تي."
"Default length","","ﻲﺿﺍﺮﺘﻓﻻﺍ ﻝﻮﻄﻟﺍ"
"Pause","","ﺔﺒﻗﺍﺮﻣ"
"transmits your player name to info.ddnet.org","","ﻰﻟﺇ ﻚﺑ ﺹﺎﺨﻟﺍ ﺐﻋﻼﻟﺍ ﻢﺳﺍ ﻞﻘﻨﻳ info.ddnet.org"
"Server best:","","ﺮﻓﺮﻴﺳ ﻞﻀﻓﺍ:"
"Render demo","","ﻮﻳﺪﻴﻓﻟﺍ ﻞﻴﻤﺤﺗ"
"Hammerfly dummy","","ﺔﻗﺮﻄﻤﻟﺎﺑ ﻥﺍﺮﻴﻃ-ﺔﻴﻣﺪﻟﺍ"
"Connect Dummy","","ﺔﻴﻣﺪﻟﺍ ﻝﺎﺧﺩﺍ"
"Toggle ghost","","ﺢﺒﺸﻟﺍ ﻊﺿﻭ"
"Statboard","","ﺩﺭﻮﺑ ﺕﺎﺘﺳ"
"Reconnect in %d sec","","%d ﻲﻓ ﻝﻮﺧﺪﻟﺍ ﺓﺩﺎﻋﺍ"
"Personal best:","","ﺔﻴﺼﺨﺷ ﻞﻀﻓﺃ:"
"Kill","","ﻞﺘﻗ"
"Please enter your nickname below.","","ﻚﺑ ﺹﺎﺨﻟﺍ ﻢﺳﺍ ﻝﺎﺧﺩﺇ ﺀﺎﺟﺮﻟﺍ."
"It's recommended that you check the settings to adjust them to your liking before joining a server.","","ﺮﻓﺮﻴﺴﻟﺍ ﻰﻟﺇ ﻡﺎﻤﻀﻧﻻﺍ ﻞﺒﻗ ﻚﺘﺒﻏﺭ ﺐﺴﺣ ﺎﻬﻄﺒﻀﻟ ﺕﺍﺩﺍﺪﻋﻹﺍ ﻦﻣ ﻖﻘﺤﺘﻟﺎﺑ ﻰﺻﻮﻳ."
"Learn","","ﻢﻠﻌﺗ"
"Video name:","","ﻮﻳﺪﻴﻓﻟﺍ ﻢﺳﺍ:"
"Toggle dyncam","","ﺔﻴﻜﻴﻣﺎﻨﻳﺪﻟﺍ ﺍﺮﻴﻣﺎﻛ"
"Show others (own team only)","","ﻂﻘﻓ ﻢﻴﺘﻠﻟ ﻦﻳﺮﺧﻻﺍ ﺭﺎﻬﻇﺍ"
"Use k key to kill (restart), q to pause and watch other players. See settings for other key binds.","","ربط."
"Client message","","ﺔﻟﺎﺳﺭ"
"Skip the main menu","","القائمة الرئيسية"
"Settings","","ﺕﺍﺩﺍﺪﻋﻻﺍ"
"Run server","","ﺮﻓﺮﻴﺳ ﻞﻴﻐﺸﺗ"
"Stop server","","ﺮﻓﺮﻴﺴﻟﺍ ﻑﺎﻘﻳﺍ"
"Editor","","تعديل"
"Download skins","","ﺕﺎﻨﻜﺴﻟﺍ ﻞﻴﻤﺤﺗ"
"Warning","","ﺮﻳﺬﺤﺗ"
"Speed","","ﺔﻋﺮﺳ"
"Website","","ﻊﻗﻮﻣ"
"Server executable not found, can't run server","","ﺮﻓﺮﻴﺴﻟﺍ ﻞﻴﻐﺸﺗ ﻦﻜﻤﻳ ﻻﻭ ،ﺬﻴﻔﻨﺘﻠﻟ ﻞﺑﺎﻗ ﺮﻓﺮﻴﺳ ﻰﻠﻋ ﺭﻮﺜﻌﻟﺍ ﻢﺘﻳ ﻢﻟ"
"Play","Start menu","ﺐﻌﻟ"
"%d of %d servers","","%d ﻦﻣ ﺮﻓﺮﻴﺳ %d"
"%d of %d server","","%d ﻦﻣ ﺮﻓﺮﻴﺳ %d"
"%d players","","%d ﻦﻴﺒﻋﻻ"
"%d player","","%d ﺐﻋﻻ"
"Theme","","ﺕﺎﻤﻴﺜﻟﺍ"
